,strategy,benchmark
2023-04-03,14308.156501368128,17835.626091025504
2023-04-04,14293.979301586529,17764.798577159763
2023-04-05,14233.797524003467,17730.306872142868
2023-04-06,14237.49314654545,17773.940468094213
2023-04-10,14239.361297318723,17794.800560710835
2023-04-11,14187.260849365757,17711.69799506189
2023-04-12,14145.764155743338,17639.50084154487
2023-04-13,14265.504200527286,17880.740898185726
2023-04-14,14266.908857320306,17865.708553797973
2023-04-17,14254.97738277533,17839.25529100469
2023-04-18,14260.492891005462,17879.094986640263
2023-04-19,14304.825682844381,17972.71710956354
2023-04-20,14274.86830793061,17828.06887760643
2023-04-21,14280.536335714183,17863.184863786137
2023-04-24,14261.19682078212,17881.26092402113
2023-04-25,14183.160422294404,17528.395906436333
2023-04-26,14170.978166459812,17486.487426500815
2023-04-27,14262.729133397237,17716.74001121374
2023-04-28,14308.96162709879,17944.174381483677
2023-05-01,14306.591974798292,18060.763092338137
2023-05-02,14262.336152525555,17798.710531836008
2023-05-03,14262.792645471041,17663.87619673529
2023-05-04,14244.276370460202,17569.385702488715
2023-05-05,14318.984524761489,17923.443760097132
2023-05-08,14333.867009083238,17983.61680472204
2023-05-09,14320.807770953383,17856.832198384196
2023-05-10,14370.062930611002,17985.7115952908
2023-05-11,14404.022382789744,17922.32488545673
2023-05-12,14409.001213081214,17882.639577257025
2023-05-15,14410.207454681506,18006.361015957824
2023-05-16,14429.60589127757,17979.264335699525
2023-05-17,14465.062235928226,18224.96053346306
2023-05-18,14532.478157935617,18530.57388096619
2023-05-19,14538.135816852267,18564.347365243764
2023-05-22,14543.112826311308,18538.219158336553
2023-05-23,14478.687607809465,18333.261358607906
2023-05-24,14456.138463687526,18256.129789042257
2023-05-25,14555.840778678234,19051.102308400044
2023-05-26,14692.784745973591,19450.354191081573
2023-05-30,14681.476944900121,19510.03127437392
2023-05-31,14653.377902343746,19266.35110714598
2023-06-01,14661.129943885651,19479.11485488002
2023-06-02,14723.849670968893,19629.04268896432
2023-06-05,14708.740738999237,19581.873524302806
2023-06-06,14719.65456196994,19581.704282359788
2023-06-07,14664.07988943639,19361.78894267265
2023-06-08,14710.919802772454,19570.731872787714
2023-06-09,14734.821343379288,19685.207150166083
2023-06-12,14858.329243892247,19987.828151809597
2023-06-13,14898.802128375228,20139.93544328797
2023-06-14,14953.268883400295,20386.922834089877
2023-06-15,15031.839114189292,20577.51544826947
2023-06-16,14991.26874924871,20474.658675229144
2023-06-20,14921.898885137143,20391.039294454687
2023-06-21,14822.488643064939,20172.140049805996
2023-06-22,14860.67982421575,20228.202500947624
2023-06-23,14764.235705571713,20040.068466133172
2023-06-26,14760.201267518638,19839.620347937725
2023-06-27,14883.783796640564,20113.65032024302
2023-06-28,14875.447794636222,20058.276709027155
2023-06-29,14944.693018380154,20156.718347526003
2023-06-30,15017.802623400728,20448.640747495705
2023-07-03,15016.32194542192,20407.083353443828
2023-07-05,14955.677089983099,20353.00410347969
2023-07-06,14876.207721045932,20158.793009449455
2023-07-07,14865.701441549274,20116.166157318654
2023-07-10,14978.829195390459,20231.129281847076
2023-07-11,15012.723211017008,20299.321865774466
2023-07-12,15079.22815451189,20592.836388834974
2023-07-13,15093.54025078017,20852.628991759535
2023-07-14,15010.857878817595,20822.779614495754
2023-07-17,15065.617001289387,20957.561049329015
2023-07-18,15068.179809174173,21125.19020446898
2023-07-19,15093.15523474243,21108.140848077503
2023-07-20,15099.33534240775,20912.851379342446
2023-07-21,15183.916895738206,20961.59764924171
2023-07-24,15199.3873043855,21019.679061301187
2023-07-25,15259.5688549945,21196.346310929137
2023-07-26,15215.574719286735,21071.155226079158
2023-07-27,15124.97482991919,21063.124544828686
2023-07-28,15171.933384193655,21294.496607439058
2023-07-31,15164.10323123122,21325.658027698293
2023-08-01,15155.61823860828,21332.51278774422
